                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97977,                 2.6909,                 1.0809,                0.54159,                 0.4127,                0.43383,                0.31164,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                      2,                0.84439,                 1.5973,                 0.9288,                0.76801,                0.11111,                0.38522,                0.27465,                    nan,                    nan,                    nan,             0.00051327,             0.00051327,             0.00051327
                      3,                0.91297,                 1.4453,                0.98727,                0.93652,                0.93667,                0.97678,                0.73613,                    nan,                    nan,                    nan,             0.00073882,             0.00073882,             0.00073882
                      4,                0.83886,                 1.3503,                0.92409,                0.95206,                0.94583,                0.98631,                0.76941,                    nan,                    nan,                    nan,             0.00093665,             0.00093665,             0.00093665
                      5,                0.79981,                 1.2739,                0.94079,                0.94676,                0.96825,                0.98102,                0.75874,                    nan,                    nan,                    nan,              0.0011068,              0.0011068,              0.0011068
                      6,                0.77618,                 1.2031,                0.94107,                 0.9252,                0.98175,                 0.9661,                0.79224,                    nan,                    nan,                    nan,              0.0012491,              0.0012491,              0.0012491
                      7,                0.83889,                 1.1427,                0.96014,                0.97482,                0.98413,                0.98091,                0.76015,                    nan,                    nan,                    nan,              0.0013638,              0.0013638,              0.0013638
                      8,                 0.7689,                 1.0141,                0.91896,                0.97587,                0.87302,                0.97765,                0.80293,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                      9,                0.72221,                0.97746,                0.93613,                 0.9498,                0.90096,                0.97969,                0.76777,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     10,                0.69439,                 0.9023,                   0.92,                0.98037,                0.96825,                0.99344,                0.82228,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                0.62061,                 1.0445,                 0.9005,                      1,                0.99804,                  0.995,                0.83046,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                0.63115,                 1.0067,                0.90653,                0.98411,                0.98328,                0.99318,                0.83277,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                0.60376,                0.94889,                0.88874,                0.98383,                0.96565,                0.98695,                0.86876,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                0.57846,                0.88942,                0.85182,                0.98412,                0.98358,                0.98906,                0.85652,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     15,                0.57288,                0.84538,                0.87054,                0.98412,                0.98386,                0.99368,                0.87048,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     16,                 0.5322,                0.80529,                0.86505,                0.96703,                      1,                0.99359,                0.87798,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     17,                0.50981,                0.76976,                0.83807,                0.98437,                0.99993,                0.99453,                0.88629,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     18,                0.47515,                0.75034,                0.82924,                0.98431,                0.99605,                0.99438,                0.89599,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     19,                0.46718,                0.71911,                0.84735,                0.98343,                0.98413,                0.99375,                0.92533,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     20,                 0.4314,                0.68472,                 0.8249,                0.98308,                0.98413,                 0.9939,                0.92696,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
