                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.15228,                0.08518,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                      2,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.18883,                 0.1013,                    nan,                    nan,                    nan,             0.00051327,             0.00051327,             0.00051327
                      3,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20467,                0.10823,                    nan,                    nan,                    nan,             0.00073882,             0.00073882,             0.00073882
                      4,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22109,                0.11338,                    nan,                    nan,                    nan,             0.00093665,             0.00093665,             0.00093665
                      5,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21588,                0.11081,                    nan,                    nan,                    nan,              0.0011068,              0.0011068,              0.0011068
                      6,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22495,                0.10886,                    nan,                    nan,                    nan,              0.0012491,              0.0012491,              0.0012491
                      7,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22338,                 0.1006,                    nan,                    nan,                    nan,              0.0013638,              0.0013638,              0.0013638
                      8,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22004,                0.10132,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                      9,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21894,                0.10077,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     10,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21148,                0.09929,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21591,                0.09561,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20215,                0.08938,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                    nan,                    nan,                    nan,                0.00328,                0.98413,                 0.1966,                0.08765,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.19487,                0.09151,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     15,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20504,                0.09633,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     16,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20383,                0.09449,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     17,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20646,                0.10111,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     18,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20491,                0.09604,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     19,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20576,                0.09676,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     20,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20281,                0.09593,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
